code,packaging_en,product_name,origins,manufacturing_places,environmental_score_grade,image_url,brands,categories
112407614,,Thaï,,,,https://images.openfoodfacts.org/images/products/000/011/240/7614/front_fr.3.400.jpg,Liebig,
1125,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1125/front_es.3.400.jpg,,
112544596,,fanta,,,unknown,,Fanta,
112563824,,Kinder,,,unknown,https://images.openfoodfacts.org/images/products/000/011/256/3824/front_fr.3.400.jpg,Ferrero,
112619997,,,,,unknown,,,
112640151,,coca cola Energy,,,unknown,,,
112652215,,cocakola,,,,,,
1127,,,,,unknown,,,
112752426,,Roskitas,,,,https://images.openfoodfacts.org/images/products/000/011/275/2426/front_fr.3.400.jpg,,
1129,,Carmel protein,,,unknown,,,
112944418,,Wermuttee,,,unknown,https://images.openfoodfacts.org/images/products/000/011/294/4418/front_de.3.400.jpg,Weltecke,
1130,,Formula 1,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1130/front_en.21.400.jpg,"Herbal Life, lackmann",Food
113003372,,Nurri Chocolate Milkshake,,,unknown,,Nurri,
113021824,,Oeufs,,,unknown,,,
113022183,,Œufs x6,,,unknown,,,
113022890,"Paper or cardboard,Cardboard",Œufs label rouge,,,unknown,,,
113291299,,Oats,,,unknown,,Slurrp,
1133,,Clear Whey Isolate Apple,,,,https://images.openfoodfacts.org/images/products/000/000/000/1133/front_en.3.400.jpg,BodyLab,
1134,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1134/front_es.3.400.jpg,Golden Foods,
1135,,Kupfer Spurenelement - Pro Fuel - Pro Fuel - Pro Fuel - Pro Fuel - Pro Fuel - Pro Fuel,,,,,,
113557687,,Dattelpaste,,,unknown,,Massa,
1136,,,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1136/front_fr.4.400.jpg,,
1137,,Baguette parisien,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1137/front_fr.4.400.jpg,,
113816878,,Knusper honigmüsli,,,,https://images.openfoodfacts.org/images/products/000/011/381/6878/front_en.3.400.jpg,Apotheke,
113979068,,,,,,https://images.openfoodfacts.org/images/products/000/011/397/9068/front_en.5.400.jpg,,
1140,,Confiture Extra de Mure,,,b,https://images.openfoodfacts.org/images/products/000/000/000/1140/front_fr.3.400.jpg,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures de mûres"
1141,,,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1141/front_fr.7.400.jpg,GOMAN AS,
114220001,,pomme canada import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0001/front_fr.9.400.jpg,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Pommes, Pommes reinette, Pommes acides, Pommes Reinettes du Canada"
114220003,,pomme red posy import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0003/front_fr.9.400.jpg,,
114220004,,pomme ariane import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0004/front_fr.8.400.jpg,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Pommes"
114220005,,pomme caudle import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0005/front_fr.12.400.jpg,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Pommes"
