ticker,name,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
adv,Advantage Solutions Inc,https://static.finnhub.io/logo/4191147864cd494d9602ea7d462b368568307c389e3447f9d958e091675fc1b7.png,https://advantagesolutions.net/,A,High,B,Medium,BB,Medium,61,21,63,55,04/20/2022,BBB,High,1776661
advm,Adverum Biotechnologies Inc,https://static.finnhub.io/logo/2a8c64fe-80d0-11ea-9f54-00000000092a.png,https://adverum.com/,B,Medium,BB,Medium,B,Medium,12,32,40,23,04/16/2022,BB,Medium,1501756
aehr,Aehr Test Systems,https://static.finnhub.io/logo/9a8fe21e-80df-11ea-8837-00000000092a.png,https://www.aehr.com/,B,Medium,B,Medium,BB,Medium,17,20,56,27,04/16/2022,BB,Medium,1040470
aehl,Antelope Enterprise Holdings Ltd,https://static.finnhub.io/logo/9a75e4385b34c0cb39ac72f06791b387f2ee941735bc144041b63d26403c5301.png,https://www.aehltd.com/,B,Medium,B,Medium,BB,Medium,7,15,62,21,06/10/2022,BB,Medium,1470683
aei,Alset Ehome International Inc,https://static.finnhub.io/logo/98c8d7c249f43e2d9209af2a93fb646dc774a1a85a30840fc88e94859962870c.png,http://www.hfenterp.com,A,High,B,Medium,B,Medium,62,9,34,36,04/20/2022,BBB,High,1750106
aeis,Advanced Energy Industries Inc,https://static.finnhub.io/logo/9ae27426-80df-11ea-a9fa-00000000092a.png,https://www.advancedenergy.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/16/2022,BBB,High,927003
aep,American Electric Power Company Inc,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/20/2022,BBB,High,4904
aemd,Aethlon Medical Inc,https://static.finnhub.io/logo/63fe5910-80d2-11ea-bdd5-00000000092a.png,https://www.aethlonmedical.com/,B,Medium,B,Medium,BB,Medium,0,20,60,19,04/16/2022,BB,Medium,882291
aese,Allied Esports Entertainment Inc,https://static.finnhub.io/logo/60068062-80db-11ea-826d-00000000092a.png,https://ir.alliedesportsent.com/,B,Medium,B,Medium,B,Medium,0,8,31,0,06/10/2022,B,Medium,1708341
aeye,AudioEye Inc,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,https://www.audioeye.com/,B,Medium,BB,Medium,BB,Medium,7,28,58,26,04/16/2022,BB,Medium,1362190
